idAirTable,direccion,fechaDeCarga,barrio,ciudad,cpc,zona,calle,altura,tipo,superficie,piso,dormitorios,categoria,precioUS,latitud,longitud
recJ7t43qENxr1cUI,"Chacabuco 700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/12/2023,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Chacabuco,700,EDIFICIO DE DEPARTAMENTOS,47.66,4,1,ESTANDAR,72500,-31.42553410,-64.18332620
recIiiI8Qe2jZwdaA,"Perú 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Perú,160,EDIFICIO DE DEPARTAMENTOS,43.30,5,1,ESTANDAR,73000,-31.42927180,-64.19264340
recTNQAGLe5Iw3Dcc,"Obispo Trejo 1200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2020,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Obispo Trejo,1113,EDIFICIO DE DEPARTAMENTOS,44.65,2,1,ESTANDAR,73000,-31.42943440,-64.19126970
recMbfZLaKM4xDeUy,"Derqui 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Derqui,50,EDIFICIO DE DEPARTAMENTOS,44.80,3,1,PREMIUM,73000,-31.42611810,-64.18694390
receIQ7lVLt68fuCj,"Dean Funes 500 Ciudad de Cordoba, Provincia de Córdoba, Argentina",7/10/2022,Centro Sud (Av Colon hacia Nva Cba),Ciudad de Cordoba,Mercado Central,Central,Dean Funes,475,EDIFICIO DE DEPARTAMENTOS,61.32,3,2,ESTANDAR,73000,-31.41207200,-64.18844570
recSfkwK7aKVDXi6S,"Chacabuco 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Chacabuco,110,EDIFICIO DE DEPARTAMENTOS,72.95,3,2,ESTANDAR,73000,-31.41945810,-64.18116750
rec1UQ6Ttx2hE33RW,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",3/9/2022,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,47.32,6,1,ESTANDAR,73500,-31.42575030,-64.19093040
rec5gcMTC5jEw4ZW5,"Avenida 24 de Septiembre 1400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Avenida 24 de Septiembre,1350,EDIFICIO DE DEPARTAMENTOS,47.66,3,1,ESTANDAR,73500,-31.41356810,-64.16483870
recYPY9WZFbvsplVR,"Malagueño 1100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2020,Jardin,Ciudad de Cordoba,Jardín,Sur,Malagueño,1074,CASONAS,45.00,PLANTA BAJA,1,PREMIUM,73800,-31.44206770,-64.17972890
recPoZSyivTRNWZ7C,"Lima 1400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Lima,1367,EDIFICIO DE DEPARTAMENTOS,43.81,5,1,ESTANDAR,74000,-31.41256720,-64.16533950
